# Opening lines from lichess-org/chess-openings, CC0 1.0 (public domain).
# https://github.com/lichess-org/chess-openings
#
# Generated by tools/scripts/make_book.py — do not edit by hand.
# One position per row: the path of UCI moves from the starting position, a tab,
# then the book moves with their weight (how many named variations use them).
e2e4 c7c6 d2d4 d7d5 e4d5	c6d5:21
e2e4 c7c6 d2d4 d7d5 e4e5	c8f5:9
e2e4 d7d5 e4d5 d8d5 b1c3	d5a5:10
e2e4 d7d5 e4d5 g8f6 d2d4	c8g4:9
e2e4 d7d6 d2d4 g8f6 b1c3	g7g6:24
e2e4 e7e5 b1c3 b8c6 f2f4	e5f4:15
e2e4 e7e5 b1c3 g8f6 f2f4	d7d5:10
e2e4 e7e5 f2f4 d7d5 e4d5	e5e4:12
e2e4 e7e5 f2f4 e5f4 f1c4	d8h4:13
e2e4 e7e5 f2f4 e5f4 g1f3	g7g5:69
e2e4 e7e5 g1f3 b8c6 b1c3	g8f6:42
e2e4 e7e5 g1f3 b8c6 d2d4	e5d4:55
e2e4 e7e5 g1f3 b8c6 f1b5	a7a6:153 g8f6:37 f7f5:9 f8c5:8
e2e4 e7e5 g1f3 b8c6 f1c4	f8c5:118 g8f6:58
e2e4 e7e5 g1f3 d7d6 d2d4	g8f6:12 e5d4:9 b8d7:8
e2e4 e7e5 g1f3 f7f5 f3e5	d8f6:8
e2e4 e7e5 g1f3 g8f6 f3e5	d7d6:29
e2e4 e7e6 d2d4 d7d5 b1c3	f8b4:55 g8f6:49
e2e4 e7e6 d2d4 d7d5 b1d2	c7c5:11
e2e4 e7e6 d2d4 d7d5 e4e5	c7c5:20
e2e4 g8f6 e4e5 f6d5 d2d4	d7d6:27
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6	f1g2:9
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6	g2g3:9
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6	f1g2:11
c2c4 g8f6 g2g3 c7c6 g1f3 d7d5	b2b3:10
d2d4 d7d5 c2c4 c7c6 b1c3 g8f6	e2e3:30
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6	b1c3:48 e2e3:11
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6	e2e3:23
d2d4 d7d5 c2c4 e7e5 d4e5 d5d4	g1f3:10
d2d4 d7d5 c2c4 e7e6 b1c3 c7c5	c4d5:26
d2d4 d7d5 c2c4 e7e6 b1c3 c7c6	g1f3:9
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6	c1g5:37 c4d5:9
d2d4 d7d5 c2c4 e7e6 g1f3 g8f6	b1c3:48 g2g3:9 e2e3:8
d2d4 d7d5 e2e4 d5e4 b1c3 g8f6	f2f3:31
d2d4 d7d5 g1f3 g8f6 c1g5 e7e6	e2e3:9
d2d4 f7f5 c2c4 g8f6 g2g3 e7e6	f1g2:21
d2d4 g8f6 c2c4 c7c5 d4d5 b7b5	c4b5:16
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6	b1c3:17
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4	e2e3:49 d1c2:20 g1f3:8
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6	g2g3:27 a2a3:13
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5	d4d5:14
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5	f1g2:18
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4	c1d2:9
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5	g1f3:23 c4d5:15
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7	e2e4:85 g1f3:11
d2d4 g8f6 c2c4 g7g6 g1f3 f8g7	g2g3:21
e2e4 c7c5 b1c3 b8c6 g2g3 g7g6	f1g2:8
e2e4 c7c5 d2d4 c5d4 c2c3 d4c3	b1c3:19
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4	f3d4:50
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4	f3d4:102
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4	f3d4:49
e2e4 c7c6 d2d4 d7d5 b1d2 d5e4	d2e4:18
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5	c2c4:16
e2e4 d7d5 e4d5 d8d5 b1c3 d5a5	d2d4:8
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6	f2f4:8
e2e4 e7e5 b1c3 b8c6 f2f4 e5f4	g1f3:9
e2e4 e7e5 f2f4 d7d5 e4d5 e5e4	d2d3:9
e2e4 e7e5 f2f4 e5f4 f1c4 d8h4	e1f1:13
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5	f1c4:32 h2h4:30
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6	f1b5:24 d2d4:9
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4	f3d4:28 f1c4:19
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6	b5a4:141 b5c6:11
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6	e1g1:28
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5	b2b4:51 c2c3:37 e1g1:19
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6	f3g5:31 d2d4:15
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6	e5f3:23
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4	e4e5:41
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6	c1g5:36 e4e5:8
e2e4 e7e6 d2d4 d7d5 b1d2 c7c5	e4d5:8
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5	c2c3:13
e2e4 g8f6 e4e5 f6d5 d2d4 d7d6	c2c4:14 g1f3:11
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2	f8g7:9
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2	f8e7:8
d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3	e7e6:28
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3	d5c4:21 e7e6:21
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3	e7e6:19
d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3	b8c6:8
d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5	e6d5:24
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5	f8e7:21 b8d7:9
d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3	e4f3:22
d2d4 d7d5 g1f3 g8f6 c1g5 e7e6 e2e3	c7c5:8
d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2	f8e7:17
d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5	a7a6:16
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3	e6d5:17
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4d5	e6d5:8
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2	d7d5:10
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3	e8g8:26 b7b6:12 c7c5:8
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3	c8b7:11
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3	c8b7:19
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5	e6d5:10
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3	f8e7:27 c7c5:9
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2	f8e7:10
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2	b4e7:9
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5	f6d5:15
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3	f8g7:22
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4	d7d6:84
d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3	e8g8:16
e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2	f8g7:8
e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3	b8c6:13
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4	g8f6:29 g7g6:14
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4	g8f6:101
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4	b8c6:19 g8f6:15 a7a6:13
e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4	c8f5:9
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4	g8f6:13
e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 d2d3	g8f6:8
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4	g5g4:25
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4	g5g4:29
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5	f8b4:13
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4	g8f6:9
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4	f8c5:11 d8h4:10
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4	g8f6:117 d7d6:12
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6	d7c6:9
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1	f6e4:16
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4	c5b4:39 c5b6:9
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3	g8f6:30
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1	g8f6:19
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4	e5d4:13
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5	d7d5:24
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3	f6e4:22
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5	c7c5:37
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5	f8e7:19 f8b4:12
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3	b8c6:11
e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4	d5b6:13
c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	g1f3:8
d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6	g1f3:28
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4	a2a4:17
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6	c1g5:14
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6	f1c4:18
d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5	g1f3:21
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7	e2e3:17
d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3	g1f3:20
d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7	g1f3:15
d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6	b5a6:9
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5	c4d5:17
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4d5 e6d5	c1g5:8
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8	f1d3:19
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7	b1c3:11
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7	f1g2:18
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5	c4d5:10
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5	c4d5:8
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7	c1g5:22
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7	g1f3:10
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7	f1g2:9
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5	e2e4:13
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7	d1b3:11
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6	g1f3:30 f2f3:25 f1e2:14 f2f4:8
d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8	f1g2:16
e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 b8c6	g1f3:11
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6	b1c3:28
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6	b1c3:97
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6	b1c3:15
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6	b1c3:14
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6	b1c3:12
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4	e1g1:11
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4	f3e5:20 f3g5:9
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4	e1g1:12
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 g8f6	e1g1:8
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6	e1g1:108
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4	d2d4:15
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4	c2c3:38
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6	d2d4:19 d2d3:9
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6	d2d3:16
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5	e4d5:23
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4	d2d4:16
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5	a2a3:33
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4	e4e5:9
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7	e4e5:16
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6	g1f3:9
e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6	f2f4:8
d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3	b8d7:26
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4	c8f5:13
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4	c7c5:15
d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3	b8c6:20
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3	e8g8:16
d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3	e8g8:15
